dsg_prompt_split,qg_model,t2i_model,item_id,question,question_id,dependency_id,answer
tifa160,dsg,mini-dalle,tifa160_9,Is the beer in the man's hand?,7,"5,2",yes
tifa160,dsg,mini-dalle,tifa160_10,Is there a man?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_10,Is there a hot dog?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_10,Are there people?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_10,Is the man eating a hot dog?,4,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_10,Is the hot dog loaded?,5,2,yes
tifa160,dsg,mini-dalle,tifa160_10,Are the people around the man?,6,"1,3",yes
tifa160,dsg,mini-dalle,tifa160_10,Are the people in a line?,7,"3,4",yes
tifa160,dsg,mini-dalle,tifa160_11,Is there a man?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_11,Is the man wearing a wet suit?,2,1,yes
tifa160,dsg,mini-dalle,tifa160_11,Is the man surfing?,3,1,yes
tifa160,dsg,mini-dalle,tifa160_12,Is there a motorcycle?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_12,Are there any doors?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_12,Are the doors painted?,3,1,yes
tifa160,dsg,mini-dalle,tifa160_12,Is the paint chipped?,4,2,yes
tifa160,dsg,mini-dalle,tifa160_12,Is the motorcycle next to doors?,5,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_12,Is the motorcycle parked?,6,1,yes
tifa160,dsg,mini-dalle,tifa160_13,Is there a man?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_13,Is there a shirt?,2,1,yes
tifa160,dsg,mini-dalle,tifa160_13,Is the shirt black?,3,2,yes
tifa160,dsg,mini-dalle,tifa160_13,Is the man playing on an ocean wave?,4,"1,4",yes
tifa160,dsg,mini-dalle,tifa160_14,Are there people?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_14,Are there kites?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_14,Is there a sky?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_14,Are the people flying the kites?,4,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_14,Are the kites in the sky?,5,"2,3",yes
tifa160,dsg,mini-dalle,tifa160_15,Is there a clock?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_15,Is there a building?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_15,Is the clock large?,3,1,yes
tifa160,dsg,mini-dalle,tifa160_15,Is the clock hanging from the building?,4,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_15,Does the clock read 12:43?,5,1,yes
tifa160,dsg,mini-dalle,tifa160_16,Is there a sheep?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_16,Does the sheep have hair?,2,1,yes
tifa160,dsg,mini-dalle,tifa160_16,Is the hair short?,3,2,yes
tifa160,dsg,mini-dalle,tifa160_16,Is the sheep standing?,4,1,yes
tifa160,dsg,mini-dalle,tifa160_16,Is there a fence?,5,0,yes
tifa160,dsg,mini-dalle,tifa160_16,Is the sheep under the fence?,6,"1,5",yes
tifa160,dsg,mini-dalle,tifa160_17,Is there a horse?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_17,Is there a field?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_17,Is there a rider?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_17,Is the horse midsized?,4,1,yes
tifa160,dsg,mini-dalle,tifa160_17,Is the horse female?,5,1,no
tifa160,dsg,mini-dalle,tifa160_17,Is the horse in the field?,6,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_17,Is the rider in the field?,7,"3,2",yes
tifa160,dsg,mini-dalle,tifa160_17,Is the rider on the horse?,8,"1,3",yes
tifa160,dsg,mini-dalle,tifa160_17,Is the rider standing?,9,3,yes
tifa160,dsg,mini-dalle,tifa160_18,Is this a black and white photograph?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_18,Is there a bed?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_18,Is there a laptop?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_18,Is the laptop on the bed?,4,"2,3",yes
tifa160,dsg,mini-dalle,tifa160_19,Is there a boy?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_19,Is there a bus?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_19,Is there a door?,3,2,yes
tifa160,dsg,mini-dalle,tifa160_19,Is the boy standing?,4,1,yes
tifa160,dsg,mini-dalle,tifa160_19,Is the boy in the door of the bus?,5,"1,3",yes
tifa160,dsg,mini-dalle,tifa160_20,Is this a photo?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_20,Is there a bear?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_20,Is the bear blue?,3,2,yes
tifa160,dsg,mini-dalle,tifa160_21,Is there a gecko?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_21,Does the gecko have a hat?,2,1,yes
tifa160,dsg,mini-dalle,tifa160_21,Is the hat a train conductor's hat?,3,2,yes
tifa160,dsg,mini-dalle,tifa160_21,Does the gecko have a flag?,4,1,yes
tifa160,dsg,mini-dalle,tifa160_21,Is the flag a yin-yang flag?,5,4,yes
tifa160,dsg,mini-dalle,tifa160_21,Is this a portrait?,6,0,yes
tifa160,dsg,mini-dalle,tifa160_21,Is this a comic?,7,0,yes
tifa160,dsg,mini-dalle,tifa160_21,Is the gecko holding the flag?,8,"1,4",yes
tifa160,dsg,mini-dalle,tifa160_22,Is there a dolphin?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_22,Is the dolphin wearing an astronaut suit?,2,1,yes
tifa160,dsg,mini-dalle,tifa160_22,Is there a saturn?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_22,Is the dolphin on saturn?,4,"1,3",yes
tifa160,dsg,mini-dalle,tifa160_23,Is there a word?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_23,"Does the word say ""START""?",2,1,yes
tifa160,dsg,mini-dalle,tifa160_23,Is there a t-shirt?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_23,Is the t-shirt blue?,4,3,yes
tifa160,dsg,mini-dalle,tifa160_23,Is the word on the t-shirt?,5,"1,3",yes
tifa160,dsg,mini-dalle,tifa160_24,Is there a word?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_24,Is there a sidewalk?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_24,"Does the word say ""START""?",3,1,yes
tifa160,dsg,mini-dalle,tifa160_24,Is the word written in chalk?,4,1,yes
tifa160,dsg,mini-dalle,tifa160_24,Is the word on the sidewalk?,5,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_25,Is there a vehicle?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_25,Does the vehicle have wheels?,2,1,yes
tifa160,dsg,mini-dalle,tifa160_25,Does the vehicle have two wheels?,3,2,yes
tifa160,dsg,mini-dalle,tifa160_25,Does the vehicle have a frame?,4,1,yes
tifa160,dsg,mini-dalle,tifa160_25,Does the vehicle have pedals?,5,1,yes
tifa160,dsg,mini-dalle,tifa160_25,Does the vehicle have handlebars?,6,1,yes
tifa160,dsg,mini-dalle,tifa160_25,Does the vehicle have a front wheel?,7,1,yes
tifa160,dsg,mini-dalle,tifa160_25,Are the wheels held in the frame?,8,"2,4",yes
tifa160,dsg,mini-dalle,tifa160_25,Are the wheels one behind the other?,9,2,yes
tifa160,dsg,mini-dalle,tifa160_25,Are the pedals propelling the vehicle?,10,"5,1",yes
tifa160,dsg,mini-dalle,tifa160_25,Are the handlebars attached to the front wheel?,11,"6,7",yes
tifa160,dsg,mini-dalle,tifa160_25,Are the handlebars steering the vehicle?,12,"6,1",yes
tifa160,dsg,mini-dalle,tifa160_26,Is this a sketch?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_26,Is there a horse?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_27,Is there the Great Wall?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_27,Are there mountains?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_27,Is the Great Wall a section?,3,1,yes
tifa160,dsg,mini-dalle,tifa160_27,Is the Great Wall in the mountains?,4,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_27,Is this a detailed charcoal sketch?,5,0,yes
tifa160,dsg,mini-dalle,tifa160_28,Is this a photo?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_28,Is there a bike?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_28,Is there a skateboard?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_28,Is the skateboard left to the bike?,4,"2,3",yes
tifa160,dsg,mini-dalle,tifa160_29,Is this a photo?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_29,Is there a dog?,2,0,no
tifa160,dsg,mini-dalle,tifa160_29,Is there a stop sign?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_29,Is the stop sign left to the dog?,4,"2,3",yes
tifa160,dsg,mini-dalle,tifa160_30,Is there a beaver?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_30,Does the beaver have glasses?,2,1,yes
tifa160,dsg,mini-dalle,tifa160_30,Does the beaver have a vest?,3,1,yes
tifa160,dsg,mini-dalle,tifa160_30,Does the beaver have a neck tie?,4,1,yes
tifa160,dsg,mini-dalle,tifa160_30,Is the beaver dignified?,5,1,yes
tifa160,dsg,mini-dalle,tifa160_30,Is the neck tie colorful?,6,4,yes
tifa160,dsg,mini-dalle,tifa160_30,Is the beaver standing?,7,1,yes
tifa160,dsg,mini-dalle,tifa160_30,Are there books?,8,0,yes
tifa160,dsg,mini-dalle,tifa160_30,Are the books in a tall stack?,9,8,yes
tifa160,dsg,mini-dalle,tifa160_30,Is there a library?,10,0,yes
tifa160,dsg,mini-dalle,tifa160_30,Is the beaver next to the books?,11,"1,8",yes
tifa160,dsg,mini-dalle,tifa160_30,Is the beaver in the library?,12,"1,10",yes
tifa160,dsg,mini-dalle,tifa160_30,Are the books in the library?,13,"8,10",yes
tifa160,dsg,mini-dalle,tifa160_31,Is there a map?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_31,Is the map of Italy?,2,1,yes
tifa160,dsg,mini-dalle,tifa160_32,Is there a pair of glasses?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_32,Is there a computer monitor?,2,1,yes
tifa160,dsg,mini-dalle,tifa160_32,Are there two glasses?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_32,Is the pair of glasses under the computer monitor?,4,"1,3",yes
tifa160,dsg,mini-dalle,tifa160_33,Is there an ostrich?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_33,Is there a couch?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_33,Is the ostrich standing?,3,1,yes
tifa160,dsg,mini-dalle,tifa160_33,Is the ostrich on the couch?,4,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_34,Is this a photo?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_34,Is there a bed?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_34,Is there a human?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_34,Is the human right to the bed?,4,"2,3",yes
tifa160,dsg,mini-dalle,tifa160_35,Is there a car?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_35,Is this digital art?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_35,Is the car playing soccer?,3,1,yes
tifa160,dsg,mini-dalle,tifa160_36,Is there a penguin?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_36,Is the penguin wearing goggles?,2,1,yes
tifa160,dsg,mini-dalle,tifa160_36,Are the goggles aviator goggles?,3,2,yes
tifa160,dsg,mini-dalle,tifa160_36,Is the penguin flying?,4,1,no
tifa160,dsg,mini-dalle,tifa160_36,Is the penguin confident?,5,1,yes
tifa160,dsg,mini-dalle,tifa160_36,Is there an eagle?,6,0,no
tifa160,dsg,mini-dalle,tifa160_36,Is the eagle bemused?,7,6,yes
tifa160,dsg,mini-dalle,tifa160_36,Is the penguin next to the eagle?,8,"1,6",yes
tifa160,dsg,mini-dalle,tifa160_37,Do we have an espresso machine?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_37,Do we have coffee?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_37,Do human beings have souls?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_37,Is the espresso machine making coffee?,4,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_37,Is the expersso made of human souls?,5,"2,3",no
tifa160,dsg,mini-dalle,tifa160_38,Is there a tornado?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_38,Are there tigers?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_38,Is there a skyscraper?,3,0,no
tifa160,dsg,mini-dalle,tifa160_38,Is the tornado made of tigers?,4,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_38,Is the tornado crashing into the skyscraper?,5,"1,3",yes
tifa160,dsg,mini-dalle,tifa160_38,Is this a painting?,6,0,yes
tifa160,dsg,mini-dalle,tifa160_38,Is the painting in the style of Hokusai?,7,6,yes
tifa160,dsg,mini-dalle,tifa160_39,Are there apples?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_39,Are the apples square?,2,1,no
tifa160,dsg,mini-dalle,tifa160_39,Are the apples red?,3,1,yes
tifa160,dsg,mini-dalle,tifa160_39,Is there a tree?,4,0,yes
tifa160,dsg,mini-dalle,tifa160_39,Does the tree have leaves?,5,4,yes
tifa160,dsg,mini-dalle,tifa160_39,Are the leaves circular?,6,5,yes
tifa160,dsg,mini-dalle,tifa160_39,Are the leaves green?,7,5,yes
tifa160,dsg,mini-dalle,tifa160_39,Are the apples on the tree?,8,"1,4",yes
tifa160,dsg,mini-dalle,tifa160_40,Are there fruits?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_40,Are there vegetables?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_40,Are the fruits assorted?,3,1,yes
tifa160,dsg,mini-dalle,tifa160_40,Are the vegetables assorted?,4,2,yes
tifa160,dsg,mini-dalle,tifa160_40,Are the fruits and vegetables set together?,5,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_41,Are there people?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_41,Is there a sidewalk?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_41,Is there a city?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_41,Does one of the people have headphones?,4,1,yes
tifa160,dsg,mini-dalle,tifa160_41,Are the people walking down the sidewalk?,5,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_41,Is the sidewalk in the city?,6,"2,3",yes
tifa160,dsg,mini-dalle,tifa160_42,Is there a boy?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_42,Is there a ball?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_42,Are there other soccer players?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_42,Does the boy have arms?,4,1,yes
tifa160,dsg,mini-dalle,tifa160_42,Is the boy little?,5,0,yes
tifa160,dsg,mini-dalle,tifa160_42,Is the ball a soccer ball?,6,2,yes
tifa160,dsg,mini-dalle,tifa160_42,Are the other soccer players young?,7,3,yes
tifa160,dsg,mini-dalle,tifa160_42,Is the boy gripping the ball in his arms?,8,"1,2, 4",yes
tifa160,dsg,mini-dalle,tifa160_42,Is the boy surrounded by the other soccer players?,9,"1,3",yes
tifa160,dsg,mini-dalle,tifa160_43,Is there a man?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_43,Is there a tennis racket?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_43,Is there a ball?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_43,Does the man have a tennis racket?,4,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_43,Is the man waiting for the ball?,5,"1,3",yes
tifa160,dsg,mini-dalle,tifa160_44,Is there a baseball player?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_44,Is there a base?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_44,Is there a game?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_44,Is the game at night?,4,3,yes
tifa160,dsg,mini-dalle,tifa160_44,Is the baseball player running to the base?,5,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_44,Is the baseball player during the game?,6,"1,3",yes
tifa160,dsg,mini-dalle,tifa160_44,Is the base during the game?,7,"2,3",yes
tifa160,dsg,mini-dalle,tifa160_45,Are there skiers?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_45,Is there a class?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_45,Are the skiers beginners?,3,1,yes
tifa160,dsg,mini-dalle,tifa160_45,Are the skiers snow skiers?,4,1,yes
tifa160,dsg,mini-dalle,tifa160_45,Are the skiers having class?,5,1,yes
tifa160,dsg,mini-dalle,tifa160_46,Are there surfers?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_46,Are there surf boards?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_46,Is there an ocean?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_46,Are the surfers in a group?,4,1,yes
tifa160,dsg,mini-dalle,tifa160_46,Are the surfers going into the ocean?,5,"1,3",yes
tifa160,dsg,mini-dalle,tifa160_46,Are the surf boards going into the ocean?,6,"2,3",yes
tifa160,dsg,mini-dalle,tifa160_46,Are the surfers carrying the surf boards?,7,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_47,Are there zebras?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_47,Are there three zebras?,2,1,yes
tifa160,dsg,mini-dalle,tifa160_47,Is there hay?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_47,Are the zebras black and white?,4,1,yes
tifa160,dsg,mini-dalle,tifa160_47,Are the zebras eating hay?,5,"1,3",yes
tifa160,dsg,mini-dalle,tifa160_48,Is there a woman?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_48,Is there a jacket?,2,1,yes
tifa160,dsg,mini-dalle,tifa160_48,Is the jacket black?,3,2,yes
tifa160,dsg,mini-dalle,tifa160_48,Is there a pizza?,4,0,yes
tifa160,dsg,mini-dalle,tifa160_48,Is the woman next to the pizza?,5,"1,4",yes
tifa160,dsg,mini-dalle,tifa160_49,Is there a dog?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_49,Is there a remote controller?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_49,Is the dog laying?,3,1,yes
tifa160,dsg,mini-dalle,tifa160_49,Is the dog with the remote controller?,4,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_50,Is there a plate?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_50,Is the plate red?,2,1,yes
tifa160,dsg,mini-dalle,tifa160_50,Is there broccoli?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_50,Is there meat?,4,0,yes
tifa160,dsg,mini-dalle,tifa160_50,Are there veggies?,5,0,yes
tifa160,dsg,mini-dalle,tifa160_50,Is the broccoli on the plate?,6,"3,1",yes
tifa160,dsg,mini-dalle,tifa160_50,Is the meat on the plate?,7,"4,1",yes
tifa160,dsg,mini-dalle,tifa160_50,Are the veggies on the plate?,8,"5,1",yes
tifa160,dsg,mini-dalle,tifa160_51,Is there a woman?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_51,Is there a court?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_51,Is the woman playing tennis?,3,1,yes
tifa160,dsg,mini-dalle,tifa160_51,Is the woman on the court?,4,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_52,Are there motorcycles?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_52,Are the motorcycles in a row?,2,1,yes
tifa160,dsg,mini-dalle,tifa160_52,Are the motorcycles on the side of the road?,3,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_52,Are the motorcycles parked?,4,1,yes
tifa160,dsg,mini-dalle,tifa160_53,Is there a kitten?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_53,Is the kitten young?,2,1,yes
tifa160,dsg,mini-dalle,tifa160_53,Is there a windowpane?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_53,Is there rain?,4,0,yes
tifa160,dsg,mini-dalle,tifa160_53,Is there glass?,5,0,yes
tifa160,dsg,mini-dalle,tifa160_53,Is the kitten watching?,6,1,yes
tifa160,dsg,mini-dalle,tifa160_53,Is the kitten along the windowpane?,7,"1,3",yes
tifa160,dsg,mini-dalle,tifa160_53,Is the rain tapping on the glass?,8,"4,5",yes
tifa160,dsg,mini-dalle,tifa160_54,Is there a woman?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_54,Is there a couch?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_54,Is there a laptop?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_54,Is the woman sitting?,4,1,yes
tifa160,dsg,mini-dalle,tifa160_54,Is the woman on the couch?,5,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_54,Is the woman in front of the laptop?,6,"1,3",yes
tifa160,dsg,mini-dalle,tifa160_54,Is the couch in front of the laptop?,7,"2,3",yes
tifa160,dsg,mini-dalle,tifa160_55,Is there a toilet?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_55,Is the toilet white?,2,1,yes
tifa160,dsg,mini-dalle,tifa160_55,Is the toilet small?,3,1,yes
tifa160,dsg,mini-dalle,tifa160_55,Are there seashells?,4,0,no
tifa160,dsg,mini-dalle,tifa160_55,Are the seashells on top of the toilet?,5,"1,4",no
tifa160,dsg,mini-dalle,tifa160_56,Is there a teddy bear store?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_56,Are there signs?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_56,Are there bears?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_56,Is the teddy bear store decorated?,4,1,yes
tifa160,dsg,mini-dalle,tifa160_56,Are the signs in the teddy bear store?,5,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_56,Are the bears in the teddy bear store?,6,"1,3",yes
tifa160,dsg,mini-dalle,tifa160_57,Is there a guy?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_57,Does the guy have a cell?,2,1,yes
tifa160,dsg,mini-dalle,tifa160_57,Is the guy sitting down?,3,1,yes
tifa160,dsg,mini-dalle,tifa160_57,Is the guy using his cell?,4,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_57,Is the guy at the party?,5,1,yes
tifa160,dsg,mini-dalle,tifa160_58,Is there a skateboarder?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_58,Is the skateboarder wearing a jacket?,2,1,yes
tifa160,dsg,mini-dalle,tifa160_58,Is the jacket blue?,3,2,yes
tifa160,dsg,mini-dalle,tifa160_58,Is the skateboarder doing a trick?,4,1,yes
tifa160,dsg,mini-dalle,tifa160_59,Are there a group of children?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_59,Is there grass?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_59,Is there a frisbee?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_59,Are the children sitting?,4,1,yes
tifa160,dsg,mini-dalle,tifa160_59,Are the children in the grass?,5,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_59,Are there two of the children?,6,1,yes
tifa160,dsg,mini-dalle,tifa160_59,Are two of the children holding a frisbee?,7,"3,6",yes
tifa160,dsg,mini-dalle,tifa160_60,Is there a motorcycle?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_60,Is the motorcycle grey?,2,1,yes
