dsg_prompt_split,qg_model,t2i_model,item_id,question,answer
tifa160,tifa,mini-dalle,tifa160_12,"Question: are the doors paint chipped? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_66,"Question: is this a kitten? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_66,"Question: what animal is in the picture? Choices: kitten, puppy, rabbit, mouse. Answer:",kitten
tifa160,tifa,mini-dalle,tifa160_66,"Question: what type of furniture is this? Choices: bed, chair, table, sofa. Answer:",bed
tifa160,tifa,mini-dalle,tifa160_66,"Question: is the kitten lying? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_66,"Question: is the kitten caramel-colored? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_66,"Question: is the blanket small? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_66,"Question: is the blanket small or large? Choices: small, large, medium, tiny. Answer:",large
tifa160,tifa,mini-dalle,tifa160_66,"Question: is the bed unmade? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_66,"Question: is the bed unmade or made? Choices: unmade, made, clean, dirty. Answer:",unmade
tifa160,tifa,mini-dalle,tifa160_66,"Question: is the kitten lying on top of the blanket? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_66,"Question: is the kitten on top of or under the blanket? Choices: on top of, under, next to, behind. Answer:",
tifa160,tifa,mini-dalle,tifa160_88,"Question: is this an airplane? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_88,"Question: what type of vehicle is this? Choices: airplane, car, motorcycle, bus. Answer:",airplane
tifa160,tifa,mini-dalle,tifa160_88,"Question: are there propellers on the airplane? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_88,"Question: what is on the airplane? Choices: propellers, wings, tail, engine. Answer:",tail
tifa160,tifa,mini-dalle,tifa160_88,"Question: is the airplane flying? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_88,"Question: is this a commercial airplane? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_88,"Question: is this a commercial or a military airplane? Choices: commercial, military, private, cargo. Answer:",
tifa160,tifa,mini-dalle,tifa160_17,"Question: is this a horse? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_17,"Question: what animal is in the picture? Choices: horse, cow, sheep, goat. Answer:",horse
tifa160,tifa,mini-dalle,tifa160_17,"Question: is there a rider? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_17,"Question: who is standing? Choices: rider, driver, passenger, pedestrian. Answer:",rider
tifa160,tifa,mini-dalle,tifa160_17,"Question: is this a field? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_17,"Question: what type of place is this? Choices: field, park, forest, mountain. Answer:",field
tifa160,tifa,mini-dalle,tifa160_17,"Question: is the rider standing? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_17,"Question: what is the rider doing? Choices: standing, walking, running, sitting. Answer:",standing
tifa160,tifa,mini-dalle,tifa160_17,"Question: is the horse midsized? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_17,"Question: is the horse midsized or large? Choices: midsized, large, small, tiny. Answer:",large
tifa160,tifa,mini-dalle,tifa160_102,"Question: is there a laptop? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_102,"Question: is there an external keyboard? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_102,"Question: what type of keyboard is this? Choices: external keyboard, internal keyboard, touch screen, mouse. Answer:",external keyboard
tifa160,tifa,mini-dalle,tifa160_102,"Question: is there a mouse? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_102,"Question: is there a phone? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_102,"Question: is there a photo? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_102,"Question: is there a desk? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_102,"Question: what type of furniture is this? Choices: desk, chair, table, bed. Answer:",desk
tifa160,tifa,mini-dalle,tifa160_3,"Question: is this a motorcycle? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_3,"Question: is the motorcycle large? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_3,"Question: is the motorcycle large or small? Choices: large, small, medium, tiny. Answer:",large
tifa160,tifa,mini-dalle,tifa160_3,"Question: is the motorcycle outside of the building? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_3,"Question: is the motorcycle outside of or inside of the building? Choices: outside of, inside of, on the roof of, in the basement of. Answer:",
tifa160,tifa,mini-dalle,tifa160_85,"Question: is this a guy? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_85,"Question: is the guy wearing an umbrella hat? Choices: yes, no. Answer:",no
tifa160,tifa,mini-dalle,tifa160_85,"Question: what is the guy wearing? Choices: umbrella hat, baseball cap, cowboy hat, helmet. Answer:",
tifa160,tifa,mini-dalle,tifa160_85,"Question: is there a table? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_85,"Question: what type of furniture is this? Choices: table, chair, sofa, bed. Answer:",table
tifa160,tifa,mini-dalle,tifa160_85,"Question: is there another person? Choices: yes, no. Answer:",no
tifa160,tifa,mini-dalle,tifa160_85,"Question: who is at the table? Choices: person, animal, robot, alien. Answer:",person
tifa160,tifa,mini-dalle,tifa160_85,"Question: is the guy sitting at the table? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_85,"Question: is the guy sitting at the table with another person? Choices: yes, no. Answer:",no
tifa160,tifa,mini-dalle,tifa160_11,"Question: is this a man? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_11,"Question: is the man wearing a wet suit? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_11,"Question: what is the man wearing? Choices: wet suit, jacket, t-shirt, pants. Answer:",
tifa160,tifa,mini-dalle,tifa160_11,"Question: is the man surfing? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_11,"Question: what is the man doing? Choices: surfing, swimming, diving, running. Answer:",surfing
tifa160,tifa,mini-dalle,tifa160_10,"Question: is this a man? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_10,"Question: who is eating a loaded hot dog? Choices: man, woman, boy, girl. Answer:",man
tifa160,tifa,mini-dalle,tifa160_10,"Question: is the man eating a hot dog? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_10,"Question: what type of food is the man eating? Choices: hot dog, hamburger, sandwich, pizza. Answer:",
tifa160,tifa,mini-dalle,tifa160_10,"Question: are there people around the man? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_10,"Question: is the man eating? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_10,"Question: is the hot dog loaded? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_10,"Question: are there people around or in front of the man? Choices: around, in front of, behind, next to. Answer:",
tifa160,tifa,mini-dalle,tifa160_10,"Question: are the people in a line? Choices: yes, no. Answer:",no
tifa160,tifa,mini-dalle,tifa160_10,"Question: are the people in a line or in a circle? Choices: in a line, in a circle, in a square, in a triangle. Answer:",
tifa160,tifa,mini-dalle,tifa160_96,"Question: is this a man? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_96,"Question: is the man wearing a suit? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_96,"Question: is there a large wave? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_96,"Question: is the man surfing a large wave? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_96,"Question: is the suit black? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_96,"Question: what color is the suit? Choices: black, white, red, blue. Answer:",black
tifa160,tifa,mini-dalle,tifa160_96,"Question: is the wave large? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_96,"Question: is the wave large or small? Choices: large, small, medium, tiny. Answer:",large
tifa160,tifa,mini-dalle,tifa160_18,"Question: is there a bed? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_18,"Question: is there a laptop on the bed? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_18,"Question: what type of electronic device is on the bed? Choices: laptop, desktop, tablet, phone. Answer:",laptop
tifa160,tifa,mini-dalle,tifa160_18,"Question: is this a black and white photograph? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_18,"Question: is this a black and white or a color photograph? Choices: black and white, color, sepia, cyanotype. Answer:",
tifa160,tifa,mini-dalle,tifa160_18,"Question: is this a photograph? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_18,"Question: is this a photograph, a painting, or a drawing? Choices: photograph, painting, drawing, sculpture. Answer:",
tifa160,tifa,mini-dalle,tifa160_92,"Question: is this a man? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_92,"Question: is this a motorcycle? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_92,"Question: what type of vehicle is this? Choices: motorcycle, car, bicycle, bus. Answer:",motorcycle
tifa160,tifa,mini-dalle,tifa160_92,"Question: is the man smoking a cigarette? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_92,"Question: what is the man smoking? Choices: cigarette, cigar, pipe, hookah. Answer:",cigarette
tifa160,tifa,mini-dalle,tifa160_92,"Question: is the man sitting on the motorcycle? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_92,"Question: is the man smoking? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_90,"Question: is there a pear? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_90,"Question: is there an orange? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_90,"Question: are there bananas? Choices: yes, no. Answer:",no
tifa160,tifa,mini-dalle,tifa160_90,"Question: is there a bowl? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_90,"Question: are there two bananas? Choices: yes, no. Answer:",no
tifa160,tifa,mini-dalle,tifa160_90,"Question: how many bananas are in the bowl? Choices: 1, 2, 3, 4. Answer:",0
tifa160,tifa,mini-dalle,tifa160_90,"Question: is the bowl wooden? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_90,"Question: what is the material of the bowl? Choices: wooden, metal, plastic, glass. Answer:",wooden
tifa160,tifa,mini-dalle,tifa160_78,"Question: is this a woman? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_78,"Question: is the woman wearing a dress? Choices: yes, no. Answer:",no
tifa160,tifa,mini-dalle,tifa160_78,"Question: what is the woman wearing? Choices: dress, jacket, t-shirt, pants. Answer:",pants
tifa160,tifa,mini-dalle,tifa160_78,"Question: what type of furniture is this? Choices: chair, table, bed, sofa. Answer:",chair
tifa160,tifa,mini-dalle,tifa160_78,"Question: what type of container is this? Choices: vase, bowl, cup, glass. Answer:",unanswerable
tifa160,tifa,mini-dalle,tifa160_78,"Question: is the woman sitting in the chair? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_78,"Question: is the dress blue? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_78,"Question: what color is the dress? Choices: blue, red, yellow, green. Answer:",blue
tifa160,tifa,mini-dalle,tifa160_78,"Question: is the chair modern? Choices: yes, no. Answer:",no
tifa160,tifa,mini-dalle,tifa160_78,"Question: is the chair modern or antique? Choices: modern, antique, old, new. Answer:",modern
tifa160,tifa,mini-dalle,tifa160_78,"Question: is the room empty? Choices: yes, no. Answer:",no
tifa160,tifa,mini-dalle,tifa160_78,"Question: is the room empty or full? Choices: empty, full, half-full, half-empty. Answer:",
tifa160,tifa,mini-dalle,tifa160_80,"Question: are there giraffes? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_80,"Question: what animals are in the picture? Choices: giraffes, elephants, lions, tigers. Answer:",
tifa160,tifa,mini-dalle,tifa160_80,"Question: is this an enclosure? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_80,"Question: what type of place is this? Choices: enclosure, park, forest, mountain. Answer:",enclosure
tifa160,tifa,mini-dalle,tifa160_80,"Question: are the giraffes gathered together? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_80,"Question: is this a group of giraffes? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_61,"Question: is this a bike? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_61,"Question: what type of vehicle is this? Choices: bike, car, motorcycle, bus. Answer:",bike
tifa160,tifa,mini-dalle,tifa160_61,"Question: are the handles white? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_61,"Question: what color are the handles? Choices: white, black, red, blue. Answer:",white
tifa160,tifa,mini-dalle,tifa160_61,"Question: is there a pole? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_61,"Question: is this a sidewalk? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_61,"Question: what type of place is this? Choices: sidewalk, parking lot, airport, bus stop. Answer:",sidewalk
tifa160,tifa,mini-dalle,tifa160_61,"Question: is the bike locked to the pole? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_61,"Question: is the bike red? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_61,"Question: what color is the bike? Choices: red, black, white, blue. Answer:",red
tifa160,tifa,mini-dalle,tifa160_61,"Question: is the pole black? Choices: yes, no. Answer:",no
tifa160,tifa,mini-dalle,tifa160_61,"Question: what color is the pole? Choices: black, white, red, blue. Answer:",red
tifa160,tifa,mini-dalle,tifa160_41,"Question: are there people walking down the city sidewalk? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_41,"Question: is this a city sidewalk? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_41,"Question: what type of place is this? Choices: city sidewalk, country road, highway, parking lot. Answer:",
tifa160,tifa,mini-dalle,tifa160_41,"Question: are there headphones? Choices: yes, no. Answer:",no
tifa160,tifa,mini-dalle,tifa160_41,"Question: what type of electronic device is this? Choices: headphones, earphones, microphone, speaker. Answer:",
tifa160,tifa,mini-dalle,tifa160_41,"Question: are the people walking down the city sidewalk? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_41,"Question: is there one person with headphones? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_41,"Question: is one of the people showing headphones? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_67,"Question: is this a woman? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_67,"Question: who is eating food outside from a plate on her lap? Choices: woman, man, boy, girl. Answer:",
tifa160,tifa,mini-dalle,tifa160_67,"Question: is there food? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_67,"Question: is there a plate? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_67,"Question: what type of container is this? Choices: plate, bowl, cup, glass. Answer:",plate
tifa160,tifa,mini-dalle,tifa160_67,"Question: is the woman eating food? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_67,"Question: is the woman barefoot? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_67,"Question: is the woman barefoot or wearing shoes? Choices: barefoot, wearing shoes, wearing socks, wearing sandals. Answer:",
tifa160,tifa,mini-dalle,tifa160_67,"Question: is the woman eating food outside? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_67,"Question: is the woman eating food outside or inside? Choices: outside, inside, on the roof, in the basement. Answer:",
tifa160,tifa,mini-dalle,tifa160_67,"Question: is the plate on her lap? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_67,"Question: is the plate on her lap or on the table? Choices: on her lap, on the table, on the floor, on the wall. Answer:",
tifa160,tifa,mini-dalle,tifa160_65,"Question: are there stuffed animals? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_65,"Question: what type of toys are these? Choices: stuffed animals, dolls, cars, blocks. Answer:",
tifa160,tifa,mini-dalle,tifa160_65,"Question: is there a bed? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_65,"Question: are the stuffed animals sitting? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_65,"Question: is this a group of stuffed animals? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_65,"Question: is this a group or a single stuffed animal? Choices: group, single, pair, set. Answer:",
tifa160,tifa,mini-dalle,tifa160_65,"Question: are the stuffed animals sitting next to each other? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_65,"Question: are the stuffed animals next to each other or far apart? Choices: next to each other, far apart, on top of each other, under each other. Answer:",
tifa160,tifa,mini-dalle,tifa160_44,"Question: is this a baseball player? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_44,"Question: who is running to a base? Choices: baseball player, football player, basketball player, soccer player. Answer:",
tifa160,tifa,mini-dalle,tifa160_44,"Question: is there a base? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_44,"Question: what is the baseball player running to? Choices: base, home plate, pitcher's mound, dugout. Answer:",
tifa160,tifa,mini-dalle,tifa160_44,"Question: is this a game? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_44,"Question: is the baseball player running? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_44,"Question: is this a game at night? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_44,"Question: is this a game at night or during the day? Choices: at night, during the day, in the morning, in the evening. Answer:",
tifa160,tifa,mini-dalle,tifa160_68,"Question: is this a train? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_68,"Question: what type of vehicle is this? Choices: train, car, motorcycle, bus. Answer:",train
tifa160,tifa,mini-dalle,tifa160_68,"Question: is there a track? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_68,"Question: what is the train on? Choices: track, road, sidewalk, bridge. Answer:",track
tifa160,tifa,mini-dalle,tifa160_68,"Question: are there trees? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_68,"Question: are there many trees? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_68,"Question: are there trees near the train? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_68,"Question: are the trees near or far from the train? Choices: near, far, next to, behind. Answer:",
tifa160,tifa,mini-dalle,tifa160_9,"Question: is this a man? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_9,"Question: is the man wearing a suit? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_9,"Question: is the man wearing a tie? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_9,"Question: is the man holding a beer? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_9,"Question: what is the man holding? Choices: beer, wine, water, soda. Answer:",beer
tifa160,tifa,mini-dalle,tifa160_9,"Question: is the man young? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_9,"Question: is the man young or old? Choices: young, old, middle-aged, infant. Answer:",young
tifa160,tifa,mini-dalle,tifa160_94,"Question: is this a man? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_94,"Question: is this a food truck? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_94,"Question: what type of vehicle is this? Choices: food truck, car, motorcycle, bus. Answer:",food truck
tifa160,tifa,mini-dalle,tifa160_94,"Question: is there a menu? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_94,"Question: what is the man viewing? Choices: menu, sign, poster, billboard. Answer:",menu
tifa160,tifa,mini-dalle,tifa160_94,"Question: is the man viewing the menu? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_45,"Question: is this a group of beginner snow skiers? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_45,"Question: are these beginner snow skiers? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_45,"Question: who is having class? Choices: beginner snow skiers, advanced snow skiers, beginner snow boarders, advanced snow boarders. Answer:",
tifa160,tifa,mini-dalle,tifa160_45,"Question: are the beginner snow skiers having class? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_45,"Question: what are the beginner snow skiers doing? Choices: having class, having a meeting, having a party, having a picnic. Answer:",
tifa160,tifa,mini-dalle,tifa160_50,"Question: is there a plate? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_50,"Question: is there broccoli? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_50,"Question: what type of vegetable is this? Choices: broccoli, carrot, potato, onion. Answer:",
tifa160,tifa,mini-dalle,tifa160_50,"Question: is there meat? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_50,"Question: are there veggies? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_50,"Question: is the plate topped with broccoli, meat and veggies? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_50,"Question: is the plate red? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_50,"Question: what color is the plate? Choices: red, black, white, yellow. Answer:",red
tifa160,tifa,mini-dalle,tifa160_16,"Question: is this a sheep? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_16,"Question: what animal is in the picture? Choices: sheep, cow, goat, horse. Answer:",sheep
tifa160,tifa,mini-dalle,tifa160_16,"Question: is there hair on the sheep? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_16,"Question: what is on the sheep? Choices: hair, wool, fur, skin. Answer:",wool
tifa160,tifa,mini-dalle,tifa160_16,"Question: is there a fence? Choices: yes, no. Answer:",no
tifa160,tifa,mini-dalle,tifa160_16,"Question: what type of structure is this? Choices: fence, wall, gate, door. Answer:",fence
tifa160,tifa,mini-dalle,tifa160_16,"Question: is the sheep standing under the fence? Choices: yes, no. Answer:",no
tifa160,tifa,mini-dalle,tifa160_16,"Question: is the hair short? Choices: yes, no. Answer:",no
tifa160,tifa,mini-dalle,tifa160_16,"Question: is the hair short or long? Choices: short, long, medium, curly. Answer:",long
tifa160,tifa,mini-dalle,tifa160_16,"Question: is the sheep under the fence? Choices: yes, no. Answer:",no
tifa160,tifa,mini-dalle,tifa160_16,"Question: is the sheep under or next to the fence? Choices: under, next to, behind, in front of. Answer:",
tifa160,tifa,mini-dalle,tifa160_51,"Question: is this a woman? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_51,"Question: who is on the court? Choices: woman, man, boy, girl. Answer:",woman
tifa160,tifa,mini-dalle,tifa160_51,"Question: is this a court? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_51,"Question: what type of place is this? Choices: court, park, forest, mountain. Answer:",court
tifa160,tifa,mini-dalle,tifa160_51,"Question: is the woman playing a game? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_51,"Question: is the woman playing tennis? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_51,"Question: what sport is the woman playing? Choices: tennis, basketball, baseball, soccer. Answer:",tennis
tifa160,tifa,mini-dalle,tifa160_15,"Question: is there a clock? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_15,"Question: what type of object is this? Choices: clock, watch, timer, alarm. Answer:",clock
tifa160,tifa,mini-dalle,tifa160_15,"Question: is there a building? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_15,"Question: is the clock hanging from the building? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_15,"Question: is the clock large? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_15,"Question: is the clock large or small? Choices: large, small, medium, tiny. Answer:",large
tifa160,tifa,mini-dalle,tifa160_15,"Question: does the clock read 12:43? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_1,"Question: are there planes? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_1,"Question: what type of vehicle is this? Choices: planes, cars, motorcycles, buses. Answer:",planes
tifa160,tifa,mini-dalle,tifa160_1,"Question: are there windows? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_1,"Question: is there a group of planes? Choices: yes, no. Answer:",no
tifa160,tifa,mini-dalle,tifa160_1,"Question: is the wall large? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_1,"Question: is the wall large or small? Choices: large, small, medium, tiny. Answer:",large
tifa160,tifa,mini-dalle,tifa160_1,"Question: are the planes near the wall? Choices: yes, no. Answer:",no
